gene_id	chr	start	end	gene	san:yak:tei_pbs	san:yak:tei_pval_ortho	san:yak:tei_pval_bs	paml_ps_scenario
LOC120321193	X	1357306	1362307	CG14795	0.862702573272859	0.0312825860271115	0.0341904316658874	No_PS
LOC120321422	3L	20983004	20988005	CG46434	0.835102585533766	0.0410844629822732	0.0465014804425744	No_PS
LOC26535668	X	12133164	12138165	Rpp20	0.855932044263933	0.0335766423357664	0.0377123266323827	No_PS
LOC26536068	3R	7783659	7801354	SIFaR	0.868698195513539	0.0275286757038581	0.0296400187003272	PS_spill_Dsan
LOC26536290	3L	19205134	19210403	CG33288	0.876553044959258	0.0187695516162669	0.0187003272557269	No_PS
LOC6523879	X	896203	914278	CG42259	0.862135113847053	0.0319082377476538	0.0349384447561165	No_PS
LOC6523880	X	899812	904812	CG14629	0.862135113847053	0.0319082377476538	0.0349384447561165	PS_independent
LOC6524039	X	2494472	2499473	RpL7A	0.873035357813234	0.0202294056308654	0.0201340190119993	PS_ancestral
LOC6524041	X	2498644	2503644	dx	0.873035357813234	0.0202294056308654	0.0201340190119993	No_PS
LOC6524061	X	2647938	2652938	CG14440	0.88046714365332	0.0116788321167883	0.0092566619915848	PS_spill_Dsan
LOC6524115	X	2965935	2976180	AdamTS-B	0.854222378668567	0.0346193952033368	0.0383668380863331	No_PS
LOC6524635	X	7990780	7995780	Tango2	0.881114359788972	0.008342022940563	0.0088203210222845	PS_spill_Dsan
LOC6524949	X	10713633	10718633	CG9915	0.872668124829369	0.0221063607924921	0.021505376344086	No_PS
LOC6524967	X	10785427	10793483	mei-41	0.837624646679602	0.0394160583941605	0.0448807854137447	No_PS
LOC6524992	X	11017893	11022893	RpS19a	0.8691487636736	0.0273201251303441	0.0280193236714975	No_PS
LOC6524993	X	11019573	11024574	SNRPG	0.870716469742272	0.0241918665276329	0.0251207729468599	No_PS
LOC6525136	X	12135450	12140450	CG18809	0.855932044263933	0.0335766423357664	0.0377123266323827	No_PS
LOC6525137	X	12135500	12140500	COX6B	0.855932044263933	0.0335766423357664	0.0377123266323827	No_PS
LOC6525167	X	12251899	12256900	Pstk	0.831954382048832	0.0423357664233576	0.0474988312295465	No_PS
LOC6525168	X	12252691	12257692	CG14210	0.831954382048832	0.0423357664233576	0.0474988312295465	PS_independent
LOC6525180	X	12307022	12312022	car	0.848699568463398	0.0364963503649635	0.0407978806295776	PS_spill_Dsan
LOC6525191	X	12381495	12387771	pcm	0.887118009290152	0.0020855057351407	0.0032725572697522	No_PS
LOC6525279	X	13180188	13185189	Ppt1	0.872668124829369	0.0221063607924921	0.021505376344086	PS_spill_Dsan
LOC6525280	X	13183450	13190601	CAH3	0.872668124829369	0.0221063607924921	0.021505376344086	PS_spill_Dsan
LOC6525720	X	16901109	16906109	CG15814	0.855155843602624	0.0337851929092805	0.0377123266323827	PS_spill_Dsan
LOC6526295	2L	400173	405174	Ent1	0.879868477709386	0.0156412930135557	0.0165186224092254	PS_spill_Dsan
LOC6526316	2L	583486	588487	lwr	0.887115902259045	0.0025026068821689	0.0033660589060308	No_PS
LOC6526317	2L	585233	590234	Spp	0.887115902259045	0.0025026068821689	0.0033660589060308	No_PS
LOC6526797	2L	4269809	4274810	Or24a	0.88046714365332	0.0116788321167883	0.0092566619915848	PS_spill_Dsan
LOC6527130	2L	6901006	6914873	Kr-h1	0.843992542346502	0.0387904066736183	0.0424497428705002	No_PS
LOC6527296	2L	8289585	8294586	CG14932	0.862702573272859	0.0312825860271115	0.0341904316658874	PS_spill_Dsan
LOC6528494	2L	16607051	16612051	Cul1	0.871882125236995	0.0239833159541188	0.0242792582203521	No_PS
LOC6528495	2L	16609727	16614728	Or43b	0.871882125236995	0.0239833159541188	0.0242792582203521	No_PS
LOC6528876	2L	18831834	18836835	CG18011	0.8464568043953	0.037956204379562	0.0414523920835281	PS_spill_Dsan
LOC6529082	2L	20764922	20769923	Tbce	0.862135113847053	0.0319082377476538	0.0349384447561165	PS_unique_Dyak
LOC6529556	2R	7220091	7228379	kel	0.870540310169177	0.0250260688216892	0.0251207729468599	PS_spill_Dsan
LOC6529879	2R	9659774	9665710	RN-tre	0.88046714365332	0.0116788321167883	0.0092566619915848	PS_spill_Dsan
LOC6529987	2R	10426833	10431833	Pex13	0.836378713803371	0.0408759124087591	0.0455352968676951	PS_independent
LOC6529988	2R	10430406	10436180	Dp	0.836378713803371	0.0408759124087591	0.0455352968676951	No_PS
LOC6530819	2R	15636916	15644799	CG13868	0.865852756334252	0.0294056308654848	0.0321957300919432	No_PS
LOC6531080	2R	17517617	17522618	CG5189	0.851997106201987	0.0354535974973931	0.0390836839644693	PS_spill
LOC6531081	2R	17521376	17526377	slim	0.851997106201987	0.0354535974973931	0.0390836839644693	No_PS
LOC6531148	2R	17832472	17837472	Hsf	0.843591287880193	0.0389989572471324	0.0425432445067788	No_PS
LOC6531850	2R	22082495	22088309	pita	0.8691487636736	0.0273201251303441	0.0280193236714975	PS_spill_Dsan
LOC6531851	2R	22083584	22088584	Dcp-1	0.8691487636736	0.0273201251303441	0.0280193236714975	No_PS
LOC6531935	2R	22505405	22510406	CG3803	0.881358621447872	0.0064650677789363	0.0036465638148667	PS_spill
LOC6532580	3L	2602024	2607024	Hsp67Ba	0.877196989630553	0.0160583941605839	0.0165809568334112	No_PS
LOC6534654	3L	19205228	19217894	barc	0.876553044959258	0.0187695516162669	0.0187003272557269	No_PS
LOC6534856	3L	20546669	20566016	kug	0.863189631715907	0.0306569343065693	0.0335047529998441	No_PS
LOC6535428	3R	3953236	3958236	CG5823	0.879868477709386	0.0156412930135557	0.0165186224092254	No_PS
LOC6535826	3R	7128614	7137800	Lrrk	0.871882125236995	0.0239833159541188	0.0242792582203521	No_PS
LOC6536179	3R	9900447	9905448	CG9636	0.870540310169177	0.0250260688216892	0.0251207729468599	PS_unique_Dyak
LOC6536373	3R	11165504	11170505	by	0.843242228639763	0.0392075078206465	0.0426990805672432	No_PS
LOC6536604	3R	12845279	12850280	CG4820	0.836378713803371	0.0408759124087591	0.0455352968676951	No_PS
LOC6536879	3R	14790136	14795136	d-cup	0.876858605541681	0.0177267987486965	0.0167056256817827	No_PS
LOC6536983	3R	15567730	15572730	Rbp4	0.870540310169177	0.0250260688216892	0.0251207729468599	No_PS
LOC6537726	3R	20846966	20852162	PyK	0.85449713819482	0.0342022940563086	0.0383668380863331	PS_ancestral
